Month,Make,Model,Segment,Sales_Rank,Cash_Rate_Percent,Sales_Total,Segment_Share_Percent,Retail_Offer,Media_Spend_Total
Apr-24,Alfa Romeo,Giulia,Medium > $60K,,4.35,25,1.29%,,$0
Apr-24,Alfa Romeo,Junior,SUV Light,,4.35,0,0.00%,,$0
Apr-24,Alfa Romeo,Stelvio,SUV Medium > $60K,,4.35,11,0.30%,,$0
Apr-24,Alfa Romeo,Tonale,SUV Small > $45K,,4.35,21,0.63%,,$0
Apr-24,Asiastar,B12,Light Buses < 20 Seats,,4.35,0,0.00%,,$0
Apr-24,Asiastar,C11,LD 3501-8000 kgs GVM,,4.35,0,0.00%,,$0
Apr-24,Asiastar,D11,LD 3501-8000 kgs GVM,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,DB11,Sports > $200K,,4.35,2,1.96%,,$0
Apr-24,Aston Martin,DB12,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,DBS Superleggera,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,DBS Superleggera Volante,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,DBX,SUV Upper Large > $120K,,4.35,4,1.25%,,$0
Apr-24,Aston Martin,V12 Vantage,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,V8 Vantage,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Aston Martin,Vanquish,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,Audi,A1,Light > $30K,,4.35,24,6.90%,,$0
Apr-24,Audi,A3,Small > $45K,,4.35,159,8.96%,,$0
Apr-24,Audi,A4,Medium > $60K,,4.35,13,0.67%,,$0
Apr-24,Audi,A4 Allroad,Medium > $60K,,4.35,0,0.00%,,$0
Apr-24,Audi,A5,Medium > $60K,,4.35,7,2.45%,,$0
Apr-24,Audi,A6,Large > $70K,,4.35,3,2.42%,,$0
Apr-24,Audi,A6 Allroad,Large > $70K,,4.35,3,2.42%,,$0
Apr-24,Audi,A7,Large > $70K,,4.35,2,1.62%,,$0
Apr-24,Audi,A8,Upper Large > $100K,,4.35,1,4.17%,,$0
Apr-24,Audi,Q2,SUV Small > $45K,,4.35,97,2.87%,,$0
Apr-24,Audi,Q3,SUV Small > $45K,,4.35,428,12.62%,,$0
Apr-24,Audi,Q4 e-tron,SUV Medium > $60K,,4.35,0,0.00%,,$0
Apr-24,Audi,Q5,SUV Medium > $60K,,4.35,273,7.27%,,$0
Apr-24,Audi,Q6 e-Tron,SUV Medium > $60K,,4.35,0,0.00%,,$0
Apr-24,Audi,Q7,SUV Large > $80K,,4.35,64,3.20%,,$0
Apr-24,Audi,Q8,SUV Large > $80K,,4.35,29,1.45%,,$0
Apr-24,Audi,Q8 e-tron,SUV Large > $80K,,4.35,18,0.90%,Finance,"$56,034"
Apr-24,Audi,TT,Sports > $90K,,4.35,3,1.05%,,$0
Apr-24,Audi,e-tron,SUV Large > $80K,,4.35,0,0.00%,,$0
Apr-24,Audi,e-tron GT,Large > $70K,,4.35,9,7.26%,,$0
Apr-24,BMW,1 Series,Small > $45K,,4.35,70,3.94%,Finance,"$180,874"
Apr-24,BMW,2 Series,Sports > $90K,,4.35,131,45.80%,Finance,"$92,671"
Apr-24,BMW,2 Series Gran Coupe,Small > $45K,,4.35,55,3.10%,,$0
Apr-24,BMW,3 Series,Medium > $60K,,4.35,22,1.13%,Finance,"$441,662"
Apr-24,BMW,4 Series,Sports > $90K,,4.35,10,3.50%,,$0
Apr-24,BMW,4 Series Gran Coupe,Medium > $60K,,4.35,21,1.08%,,$0
Apr-24,BMW,5 Series,Large > $70K,,4.35,0,0.00%,Finance,"$53,523"
Apr-24,BMW,6 Series Gran Turismo,Upper Large > $100K,,4.35,0,0.00%,,
Apr-24,BMW,7 Series,Upper Large > $100K,,4.35,4,16.67%,,$0
Apr-24,BMW,8 Series,Sports > $200K,,4.35,0,0.00%,,$0
Apr-24,BMW,8 Series Gran Coupe,Upper Large > $100K,,4.35,0,0.00%,,$0
Apr-24,BMW,X1,SUV Small > $45K,,4.35,100,2.95%,,$0
Apr-24,BMW,X2,SUV Small > $45K,,4.35,53,1.56%,Finance,$0
Apr-24,BMW,X3,SUV Medium > $60K,,4.35,235,6.26%,Limited Edition;Finance,"$824,889"
Apr-24,BMW,X4,SUV Medium > $60K,,4.35,71,1.89%,,$0
Apr-24,BMW,X5,SUV Large > $80K,,4.35,271,13.54%,Finance,"$564,652"
Apr-24,BMW,X6,SUV Large > $80K,,4.35,90,4.50%,Finance,"$165,484"
Apr-24,BMW,X7,SUV Upper Large > $120K,,4.35,99,30.94%,,$0
Apr-24,BMW,XM,SUV Upper Large > $120K,,4.35,16,5.00%,,$0
Apr-24,BMW,Z4,Sports > $90K,,4.35,5,1.75%,,$0
Apr-24,BMW,i4 Gran Coupe,Medium > $60K,,4.35,206,10.61%,Finance,"$590,233"
Apr-24,BMW,i5,Large > $70K,,4.35,0,0.00%,Finance,"$21,977"
Apr-24,BMW,i7,Upper Large > $100K,,4.35,6,25.00%,,$0
Apr-24,BMW,iX,SUV Large > $80K,,4.35,36,1.80%,Finance,"$84,647"
Apr-24,BMW,iX1,SUV Small > $45K,,4.35,143,4.22%,Finance,"$284,150"
Apr-24,BMW,iX2,SUV Small > $45K,,4.35,37,1.09%,,$0
Apr-24,BMW,iX3,SUV Medium > $60K,,4.35,106,2.83%,Finance,"$265,169"
