Month,Event count
Aug-23,1858
Aug-23,1966
Aug-23,1886
Aug-23,1743
Aug-23,1768
Aug-23,1909
Aug-23,1872
Aug-23,1694
Aug-23,1594
Aug-23,1809
Aug-23,1723
Aug-23,1747
Aug-23,1966
Aug-23,1792
Aug-23,1800
Aug-23,1674
Aug-23,1775
Aug-23,2013
Aug-23,1864
Aug-23,1837
Aug-23,1823
Aug-23,1741
Aug-23,1530
Aug-23,1562
Aug-23,1556
Sep-23,1927
Sep-23,1917
Sep-23,1911
Sep-23,1867
Sep-23,1661
Sep-23,1695
Sep-23,1686
Sep-23,1660
Sep-23,1850
Sep-23,1906
Sep-23,1713
Sep-23,1765
Sep-23,1645
Sep-23,1609
Sep-23,1756
Sep-23,1895
Sep-23,1784
Sep-23,1748
Sep-23,1605
Sep-23,1626
Sep-23,1427
Sep-23,1367
Sep-23,1548
Sep-23,1556
Sep-23,1521
Sep-23,1575
Sep-23,1642
Sep-23,1437
Sep-23,1116
Sep-23,1218
Oct-23,1484
Oct-23,1606
Oct-23,1547
Oct-23,1456
Oct-23,1569
Oct-23,1446
Oct-23,1821
Oct-23,1622
Oct-23,1470
Oct-23,1324
Oct-23,1288
Oct-23,1207
Oct-23,1325
Oct-23,1377
Oct-23,1416
Oct-23,1314
Oct-23,1272
Oct-23,1259
Oct-23,1180
Oct-23,1211
Oct-23,1240
Oct-23,1279
Oct-23,1267
Oct-23,1229
Oct-23,1340
Oct-23,1362
Oct-23,1207
Oct-23,1314
Oct-23,1347
Oct-23,1244
Oct-23,1164
Nov-23,2069
Nov-23,2172
Nov-23,2035
Nov-23,2074
Nov-23,2028
Nov-23,2066
Nov-23,2037
Nov-23,1944
Nov-23,1917
Nov-23,1937
Nov-23,1926
Nov-23,2006
Nov-23,4060
Nov-23,5170
Nov-23,14580
Nov-23,9401
Nov-23,7836
Nov-23,6391
Nov-23,6296
Nov-23,4729
Nov-23,3014
Nov-23,7338
Nov-23,10349
Nov-23,8131
Nov-23,18348
Nov-23,25029
Nov-23,21868
Nov-23,42860
Nov-23,36403
Nov-23,44657
Dec-23,19550
Dec-23,38207
Dec-23,21710
Dec-23,40632
Dec-23,43924
Dec-23,7113
Dec-23,5829
Dec-23,6673
Dec-23,6173
Dec-23,6166
Dec-23,5633
Dec-23,4814
Dec-23,4781
Dec-23,4760
Dec-23,5178
Dec-23,6296
Dec-23,7210
Dec-23,6180
Dec-23,7995
Dec-23,8988
Dec-23,9019
Dec-23,9387
Dec-23,8493
Dec-23,8880
Dec-23,7935
Dec-23,8953
Dec-23,9137
Dec-23,9383
Dec-23,9360
Dec-23,9695
Dec-23,7446
Jan-24,3929
Jan-24,4470
Jan-24,5186
Jan-24,5249
Jan-24,5063
Jan-24,5154
Jan-24,5260
Jan-24,4578
Jan-24,4850
Jan-24,5003
Jan-24,4819
Jan-24,5129
Jan-24,5349
Jan-24,5549
Jan-24,4808
Jan-24,4902
Jan-24,5000
Jan-24,4874
Jan-24,4746
Jan-24,5391
Jan-24,5598
Jan-24,5012
Jan-24,4707
Jan-24,4819
Jan-24,4640
Jan-24,5167
Jan-24,5350
Jan-24,5631
Jan-24,5335
Jan-24,5260
Jan-24,5138
Feb-24,4849
Feb-24,5220
Feb-24,5345
Feb-24,5829
Feb-24,5496
Feb-24,5351
Feb-24,5337
Feb-24,5540
Feb-24,5103
Feb-24,5530
Feb-24,5416
Feb-24,5507
Feb-24,5028
Feb-24,5085
Feb-24,4860
Feb-24,5321
Feb-24,5516
Feb-24,5466
Feb-24,5019
Feb-24,4752
Feb-24,4493
Feb-24,4805
Feb-24,4878
Feb-24,5285
Feb-24,5145
Feb-24,4963
Feb-24,4846
Feb-24,4586
Feb-24,3525
Mar-24,1965
Mar-24,2651
Mar-24,2531
Mar-24,2545
Mar-24,2413
Mar-24,2220
Mar-24,2322
Mar-24,2216
Mar-24,2668
Mar-24,2846
Mar-24,2732
Mar-24,2571
Mar-24,2473
Mar-24,1943
Mar-24,2600
Mar-24,2829
Mar-24,2866
Mar-24,3392
Mar-24,3213
Mar-24,2534
Mar-24,2302
Mar-24,2275
Mar-24,2458
Mar-24,2436
Mar-24,2162
Mar-24,1985
Mar-24,1668
Mar-24,1587
Mar-24,2047
Mar-24,1797
Mar-24,1704
Apr-24,1735
Apr-24,1811
Apr-24,1760
Apr-24,1630
Apr-24,1758
Apr-24,1935
Apr-24,1872
Apr-24,1741
Apr-24,1735
Apr-24,1563
Apr-24,1687
Apr-24,1729
Apr-24,1826
Apr-24,1755
Apr-24,1738
Apr-24,1822
Apr-24,1640
Apr-24,1628
Apr-24,1958
Apr-24,2470
Apr-24,2471
Apr-24,2127
Apr-24,2288
Apr-24,2261
Apr-24,2316
Apr-24,2560
Apr-24,2508
Apr-24,2212
Apr-24,2231
Apr-24,2432
May-24,2265
May-24,2444
May-24,2510
May-24,2738
May-24,2441
May-24,2688
