Month,Event count
Aug-23,32895
Aug-23,31976
Aug-23,32691
Aug-23,36143
Aug-23,41594
Aug-23,34837
Aug-23,37322
Aug-23,33897
Aug-23,32806
Aug-23,32867
Aug-23,35423
Aug-23,35490
Aug-23,32536
Aug-23,34320
Aug-23,32606
Aug-23,35014
Aug-23,34933
Aug-23,34672
Aug-23,35165
Aug-23,31426
Aug-23,33197
Aug-23,31184
Aug-23,32986
Aug-23,33344
Aug-23,34184
Aug-23,32256
Aug-23,30149
Aug-23,32381
Aug-23,29680
Aug-23,29652
Aug-23,30767
Sep-23,40694
Sep-23,36752
Sep-23,34082
Sep-23,36759
Sep-23,33248
Sep-23,33158
Sep-23,33503
Sep-23,34702
Sep-23,34292
Sep-23,30988
Sep-23,33595
Sep-23,32507
Sep-23,33055
Sep-23,33463
Sep-23,37767
Sep-23,37043
Sep-23,33789
Sep-23,35658
Sep-23,33635
Sep-23,32480
Sep-23,30660
Sep-23,31140
Sep-23,32035
Sep-23,29623
Sep-23,35718
Sep-23,38441
Sep-23,32411
Sep-23,30091
Sep-23,31392
Sep-23,41974
Oct-23,35031
Oct-23,37645
Oct-23,37445
Oct-23,37035
Oct-23,37618
Oct-23,36862
Oct-23,39883
Oct-23,36506
Oct-23,38072
Oct-23,35568
Oct-23,35801
Oct-23,35610
Oct-23,33269
Oct-23,60194
Oct-23,59117
Oct-23,37491
Oct-23,35198
Oct-23,36143
Oct-23,35122
Oct-23,35602
Oct-23,77782
Oct-23,44113
Oct-23,37662
Oct-23,39769
Oct-23,37475
Oct-23,38194
Oct-23,39591
Oct-23,74900
Oct-23,50491
Oct-23,41399
Oct-23,47484
Nov-23,42096
Nov-23,45269
Nov-23,50461
Nov-23,83076
Nov-23,57833
Nov-23,61596
Nov-23,52857
Nov-23,49760
Nov-23,48413
Nov-23,47633
Nov-23,43960
Nov-23,39189
Nov-23,39840
Nov-23,37878
Nov-23,43206
Nov-23,40302
Nov-23,41303
Nov-23,44629
Nov-23,41871
Nov-23,46461
Nov-23,41330
Nov-23,44948
Nov-23,44519
Nov-23,52368
Nov-23,68146
Nov-23,64278
Nov-23,54735
Nov-23,70055
Nov-23,61562
Nov-23,69423
Dec-23,46017
Dec-23,93026
Dec-23,66135
Dec-23,67799
Dec-23,72290
Dec-23,34548
Dec-23,32272
Dec-23,31621
Dec-23,33133
Dec-23,29150
Dec-23,31654
Dec-23,29698
Dec-23,29181
Dec-23,31104
Dec-23,31347
Dec-23,73213
Dec-23,72498
Dec-23,41506
Dec-23,34238
Dec-23,33604
Dec-23,33045
Dec-23,34659
Dec-23,71018
Dec-23,36423
Dec-23,25798
Dec-23,28993
Dec-23,34406
Dec-23,34598
Dec-23,35748
Dec-23,76365
Dec-23,62510
Jan-24,30954
Jan-24,25328
Jan-24,26221
Jan-24,26915
Jan-24,27860
Jan-24,66985
Jan-24,63673
Jan-24,38246
Jan-24,28462
Jan-24,31924
Jan-24,30558
Jan-24,33486
Jan-24,72620
Jan-24,34433
Jan-24,32132
Jan-24,31337
Jan-24,31958
Jan-24,30395
Jan-24,31584
Jan-24,69245
Jan-24,37456
Jan-24,30338
Jan-24,31393
Jan-24,32207
Jan-24,30693
Jan-24,27873
Jan-24,72490
Jan-24,69253
Jan-24,46968
Jan-24,33194
Jan-24,31770
Feb-24,31389
Feb-24,33321
Feb-24,73012
Feb-24,38567
Feb-24,36634
Feb-24,34421
Feb-24,33552
Feb-24,32903
Feb-24,34335
Feb-24,34955
Feb-24,31831
Feb-24,35632
Feb-24,33405
Feb-24,32096
Feb-24,33174
Feb-24,35003
Feb-24,34885
Feb-24,32055
Feb-24,36289
Feb-24,33718
Feb-24,33165
Feb-24,31658
Feb-24,35717
Feb-24,37776
Feb-24,34232
Feb-24,38919
Feb-24,36557
Feb-24,34966
Feb-24,34866
Mar-24,35461
Mar-24,38310
Mar-24,33775
Mar-24,38230
Mar-24,37350
Mar-24,34903
Mar-24,34535
Mar-24,35343
Mar-24,35407
Mar-24,34258
Mar-24,37339
Mar-24,36996
Mar-24,35941
Mar-24,35597
Mar-24,39350
Mar-24,39746
Mar-24,37573
Mar-24,43783
Mar-24,41388
Mar-24,40367
Mar-24,40144
Mar-24,37615
Mar-24,36892
Mar-24,34204
Mar-24,37415
Mar-24,35066
Mar-24,29464
Mar-24,30281
Mar-24,32523
Mar-24,32509
Mar-24,26383
Apr-24,23495
Apr-24,29016
Apr-24,28547
Apr-24,28372
Apr-24,31172
Apr-24,29966
Apr-24,27568
Apr-24,31606
Apr-24,30296
Apr-24,29927
Apr-24,29373
Apr-24,31887
Apr-24,29368
Apr-24,26258
Apr-24,32566
Apr-24,33609
Apr-24,32709
Apr-24,30537
Apr-24,34199
Apr-24,28416
Apr-24,25777
Apr-24,31434
Apr-24,30585
Apr-24,29627
