"Sales
 Rank",Make,Category,Monthly Average,2024 YTD,2025 YTD,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25
1,Toyota,Sales,14096,112755,116532,14304,14110,14329,13412,12533,13493,13044,14420,15497,13718,15087,14963,12120,12312,14762,13674,13483,13605,14823,13830,16772,14083,15133,14803
1,Toyota,Market Share (Sales),17.08%,17.49%,18.29%,10.90%,11.00%,11.00%,11.20%,10.80%,10.50%,10.00%,12.00%,11.80%,9.80%,12.40%,12.50%,10.20%,10.30%,12.20%,11.60%,11.80%,11.30%,11.40%,12.00%,13.10%,9.80%,12.00%,12.00%
1,Toyota,Above the Line Weighted Incentive,"$1,505,891","$8,917,800","$4,640,983",$0,$0,$0,$0,$0,"$49,200","$29,700","$16,800","$17,700","$20,400","$4,422,000","$4,362,000","$4,083,000","$4,350,000","$596,580",$0,$0,$0,$0,"$158,704","$157,309","$220,420","$1,753,125","$2,351,424"
1,Toyota,Total Media Spend,"$5,824,429","$57,572,401","$34,658,611","$5,148,195","$5,572,936","$6,491,200","$5,103,726","$4,946,003","$7,183,224","$10,549,479","$4,922,870","$6,831,800","$5,894,813","$9,358,887","$7,885,325","$6,001,492","$6,630,554","$7,006,017","$5,601,165","$2,879,552","$4,373,770","$4,694,264","$1,815,013","$4,007,945","$5,517,565","$5,894,402","$5,476,100"
1,Toyota,Non-Retail Media Spend,"$5,611,138","$56,305,694","$31,996,707","$5,148,195","$5,572,936","$6,491,200","$5,103,726","$4,946,003","$7,183,224","$10,297,820","$4,819,125","$6,823,636","$5,894,813","$8,957,650","$7,383,423","$4,836,529","$6,614,299","$6,996,861","$5,601,165","$2,879,552","$4,373,770","$4,694,264","$1,815,013","$2,872,842","$4,087,089","$5,843,616","$5,430,561"
1,Toyota,Retail Media Spend,"$213,291","$1,266,707","$2,661,904",$0,$0,$0,$0,$0,$0,"$251,659","$103,745","$8,164",$0,"$401,237","$501,902","$1,164,963","$16,255","$9,156",$0,$0,$0,$0,$0,"$1,135,103","$1,430,476","$50,786","$45,539"
1,Toyota,Share Of Spend,9.70%,12.08%,7.43%,8.20%,7.90%,8.80%,9.20%,10.50%,12.20%,14.30%,10.40%,9.80%,8.60%,16.50%,13.80%,9.60%,11.30%,10.50%,11.20%,7.30%,8.30%,6.60%,4.30%,6.10%,7.20%,9.90%,8.90%
1,Toyota,Cost Per Sale,$413,$511,$297,$360,$395,$453,$381,$395,$532,$809,$341,$441,$430,$620,$527,$495,$539,$475,$410,$214,$321,$317,$131,$239,$392,$390,$370
1,Toyota,Metro FTA TV Media Spend,"$2,108,058","$24,209,513","$9,160,563","$1,611,303","$1,621,644","$2,331,215","$1,420,751","$1,910,335","$2,657,960","$4,038,330","$1,966,212","$2,900,260","$2,232,668","$4,833,683","$3,670,065","$2,518,615","$2,824,513","$2,764,946","$2,130,336","$728,299","$1,018,429","$1,255,745","$235,440","$1,225,002","$1,409,842","$1,602,119","$1,685,687"
1,Toyota,Digital Display Media Spend,"$822,733","$6,417,107","$6,613,329","$1,029,763","$593,830","$906,902","$614,044","$346,381","$1,373,822","$1,693,820","$330,126","$525,490","$593,469","$802,440","$751,559","$551,858","$789,176","$1,390,468","$839,124","$596,097","$960,281","$757,299","$451,329","$750,390","$1,226,767","$960,152","$911,014"
