"Sales
 Rank",Segment,Make,Model,Category,Monthly Average,2024 YTD,2025 YTD,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25
1,PU/CC,Ford,Ranger,Sales,3559,29803,24851,4119,4515,4632,5467,3473,3631,4025,3709,3831,4189,3181,3764,2932,3038,3042,3027,2990,2678,3329,2617,3185,4452,2359,3241
1,PU/CC,Ford,Ranger,Segment Market Share (Sales),21.23%,25.45%,20.26%,27.24%,27.38%,26.34%,32.10%,25.55%,23.85%,26.94%,27.80%,24.80%,23.61%,24.78%,26.95%,21.85%,23.05%,25.08%,24.42%,25.27%,18.97%,20.31%,19.52%,20.60%,20.62%,16.45%,20.87%
1,PU/CC,Ford,Ranger,Above the Line Weighted Incentive,"$4,958,548","$7,801,958","$58,915,772",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$7,087,541","$112,212","$602,204","$1,720,321","$2,002,498","$1,819,452","$2,118,212","$7,653,647","$7,290,570","$8,538,828","$2,111,692","$3,214,470","$4,031,211","$9,350,224","$16,725,130"
1,PU/CC,Ford,Ranger,Retail Offer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PU/CC,Ford,Ranger,High CPV,"$5,361","$3,954","$6,261",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$4,382","$3,740","$3,740","$3,740","$4,909","$4,909","$4,909","$3,740","$3,740","$3,740","$8,899","$8,899","$8,899","$5,689","$6,479"
1,PU/CC,Ford,Ranger,Low CPV,"$3,426","$3,287","$3,685",$0,$0,$0,$0,$0,$0,$0,$0,$0,"$2,379","$3,740","$3,740","$1,140","$3,740",$0,"$3,740","$3,000","$3,000","$3,000","$5,178","$5,178","$5,178","$1,945","$3,000"
1,PU/CC,Ford,Ranger,High RRP,"$89,944","$89,815","$90,503","$89,190","$89,190","$87,990","$87,990","$89,190","$89,190","$89,190","$89,190","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,690","$90,690"
1,PU/CC,Ford,Ranger,Low RRP,"$36,859","$36,880","$36,943","$36,880","$36,880","$36,380","$36,380","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$36,880","$37,130","$37,130"
1,PU/CC,Ford,Ranger,Total Media Spend,"$797,884","$8,831,993","$5,539,573","$150,120","$1,270,276","$461,111","$41,949","$202,879","$1,391,555","$1,187,395","$1,218,876","$1,306,016","$1,825,638","$637,738","$1,061,896","$780,680","$916,148","$309,183","$848,173","$6,960","$2,212","$836,421","$1,218,078","$1,252,639","$800,821","$587,403","$835,039"
1,PU/CC,Ford,Ranger,Non-Retail Media Spend,"$505,706","$6,934,488","$2,451,669","$150,120","$1,270,276","$461,111","$41,949","$202,879","$1,391,555","$1,187,395","$1,218,876","$1,176,567","$1,203,373","$278,511","$275,332","$611,278","$42,309","$4,050","$169,689",$0,$0,"$612,039","$197,459","$287,052","$10,022","$571,554","$773,543"
1,PU/CC,Ford,Ranger,Retail Media Spend,"$292,178","$1,897,505","$3,087,904",$0,$0,$0,$0,$0,$0,$0,$0,"$129,449","$622,265","$359,227","$786,564","$169,402","$873,839","$305,133","$678,484","$6,960","$2,212","$224,382","$1,020,619","$965,587","$790,799","$15,849","$61,496"
1,PU/CC,Ford,Ranger,Share Of Spend (Segment),13.26%,16.26%,12.28%,1.20%,10.10%,4.20%,0.60%,2.00%,10.30%,6.70%,9.70%,8.00%,17.70%,6.50%,10.60%,8.10%,10.50%,3.00%,8.90%,0.10%,0.00%,6.10%,19.00%,10.30%,5.20%,4.00%,7.10%
1,PU/CC,Ford,Ranger,Cost Per Sale,$224,$296,$223,$36,$281,$100,$8,$58,$383,$295,$329,$341,$436,$200,$282,$266,$302,$102,$280,$2,$1,$251,$465,$393,$180,$249,$258
1,PU/CC,Ford,Ranger,Metro FTA TV Media Spend,"$451,331","$4,861,676","$3,496,104","$68,195","$611,088","$214,053",$0,"$131,284","$739,885","$435,749","$749,209","$756,797","$1,143,650","$413,973","$491,129","$320,515","$657,118",$0,"$603,196","$6,960","$2,212","$385,918","$908,493","$821,936","$611,763","$137,115","$621,707"
1,PU/CC,Ford,Ranger,Outdoor Media Spend,"$93,732","$693,482","$676,899",$0,"$471,390","$183,256","$41,949",$0,"$424,066","$227,002",$0,"$42,414",$0,$0,$0,$0,$0,"$137,480","$45,118",$0,$0,"$252,071",$0,"$114,614",$0,"$310,214",$0
1,PU/CC,Ford,Ranger,Regional FTA TV Media Spend,"$126,160","$1,522,237","$741,010","$23,731","$187,798","$63,802",$0,"$57,940","$201,560","$73,424","$212,759","$257,811","$420,867","$102,560","$195,316","$22,216","$172,148","$105,571","$189,326",$0,$0,"$37,685","$178,566","$234,517","$168,016","$29,010","$93,216"
1,PU/CC,Ford,Ranger,Satellite TV Media Spend,"$38,889","$414,120","$412,470","$58,194",$0,$0,$0,"$8,148","$16,032","$85,740","$39,245","$113,968","$57,745","$21,754","$71,488","$12,005","$15,025","$10,987","$10,533",$0,$0,"$160,747","$131,019","$81,572","$21,042","$9,431","$8,659"
1,PU/CC,Ford,Ranger,Metro Radio Media Spend,"$52,622","$784,850","$199,918",$0,$0,$0,$0,"$5,507","$10,012","$292,477","$121,224","$70,241","$88,885","$19,841","$176,663","$215,333","$34,885","$27,952",$0,$0,$0,$0,$0,$0,$0,"$91,363","$108,555"
1,PU/CC,Ford,Ranger,Regional Radio Media Spend,"$35,149","$555,628","$13,172",$0,$0,$0,$0,$0,$0,"$73,003","$96,439","$64,785","$114,491","$79,610","$127,300","$210,611","$36,972","$27,193",$0,$0,$0,$0,$0,$0,$0,"$10,270","$2,902"
1,PU/CC,Ford,Ranger,Model Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SUV Medium < $60K,Toyota,RAV4,Sales,3091,27541,24296,2088,1931,1839,1611,1524,2050,3789,4341,3809,2598,4363,5067,3604,3482,3905,3894,3784,3248,3285,2769,2870,1690,3332,3318
2,SUV Medium < $60K,Toyota,RAV4,Segment Market Share (Sales),19.10%,23.76%,19.81%,14.70%,14.11%,13.93%,13.85%,13.58%,15.15%,24.03%,31.93%,25.72%,15.92%,28.89%,32.56%,24.53%,24.40%,29.16%,27.88%,27.69%,22.47%,20.41%,22.46%,19.96%,9.00%,19.52%,20.94%
2,SUV Medium < $60K,Toyota,RAV4,Above the Line Weighted Incentive,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,SUV Medium < $60K,Toyota,RAV4,Retail Offer,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SUV Medium < $60K,Toyota,RAV4,High CPV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,SUV Medium < $60K,Toyota,RAV4,Low CPV,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
2,SUV Medium < $60K,Toyota,RAV4,High RRP,"$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360"
