"Sales
 Rank",Segment,Make,Model,Bodystyle,Category,12 Month Average,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
1,SUV Medium < $60K,Toyota,RAV4,SUV,Sales,4436,3317,2798,2598,2449,2192,2211,2843,5070,5857,5517,3907,5933,6712,5182,4841,5526,5119,5076,4405,4321,3808,4003,2421,4415,4115,
1,SUV Medium < $60K,Toyota,RAV4,SUV,Segment Share,23.02%,18.95%,15.27%,14.78%,13.53%,14.19%,14.90%,16.15%,23.51%,32.61%,28.27%,18.99%,30.47%,31.91%,26.27%,25.45%,29.10%,25.96%,28.89%,23.44%,20.17%,22.63%,21.74%,10.93%,20.91%,20.75%,
1,SUV Medium < $60K,Toyota,RAV4,SUV,Retail Offer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SUV Medium < $60K,Toyota,RAV4,SUV,High CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SUV Medium < $60K,Toyota,RAV4,SUV,Low CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SUV Medium < $60K,Toyota,RAV4,SUV,High RRP,"$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360","$58,360"
1,SUV Medium < $60K,Toyota,RAV4,SUV,Low RRP,"$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760","$39,760"
1,SUV Medium < $60K,Toyota,RAV4,SUV,Model Launch,,,,,New Variant,,,,,,,,,,,,,Limited Edition,,,,,,,,,
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Sales,3604,4471,4346,5048,5121,5687,3638,3889,4225,4240,4362,4681,3699,4331,3342,3600,3925,3531,3452,3102,3888,3091,3577,4935,2969,3838,
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Segment Share,21.15%,24.00%,23.89%,25.08%,24.27%,27.31%,22.79%,21.65%,23.95%,26.16%,22.78%,22.10%,22.87%,25.79%,20.76%,22.17%,26.22%,23.83%,24.49%,18.79%,20.35%,19.69%,19.65%,20.03%,17.11%,20.70%,
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Retail Offer,,,,,,,,,,,,Finance,Limited Edition,Limited Edition,Limited Edition,Driveaway,Driveaway,Driveaway,Limited Edition,Limited Edition,Limited Edition,Driveaway,Driveaway,Driveaway,Finance,Finance,Limited Edition
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,High CPV,"$5,713",,,,,,,,,,,"$4,382","$3,740","$3,740","$3,740","$4,909","$4,909","$4,909","$3,740","$3,740","$3,740","$8,899","$8,899","$8,899","$5,689","$6,479","$6,020"
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Low CPV,"$3,524",,,,,,,,,,,"$2,676","$3,740","$3,740","$1,140","$3,740",,"$3,740","$3,000","$3,000","$3,000","$5,178","$5,178","$5,178","$2,612","$3,000",
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,High RRP,"$90,482","$87,990","$89,190","$89,190","$87,990","$87,990","$89,190","$89,190","$89,190","$89,190","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,440","$90,690","$90,690","$90,690"
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Low RRP,"$50,922","$50,380","$50,880","$50,880","$50,380","$50,380","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$50,880","$51,130","$51,130","$51,130"
2,PU/CC 4X4,Ford,Ranger,Dual Cab Pick Up,Model Launch,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SUV Large < $80K,Ford,Everest,SUV,Sales,2309,1502,1984,1803,1389,1496,1176,1059,2264,2400,2110,2267,2162,2273,2902,2668,2737,2476,1679,1207,2100,2234,2369,2705,2425,2203,
3,SUV Large < $80K,Ford,Everest,SUV,Segment Share,20.30%,13.29%,17.28%,14.82%,11.69%,13.49%,11.33%,10.34%,21.15%,24.36%,20.09%,20.82%,21.32%,25.60%,30.44%,28.32%,21.77%,21.23%,16.36%,11.58%,16.30%,20.98%,17.93%,18.70%,20.30%,19.68%,
3,SUV Large < $80K,Ford,Everest,SUV,Retail Offer,,,,,,,,,,,,,,,,Driveaway,Driveaway,Driveaway,,,,,,Limited Edition,Limited Edition,Limited Edition;Finance,Limited Edition
3,SUV Large < $80K,Ford,Everest,SUV,High CPV,"$4,971",,,,,,,,,,,,,,,"$4,432","$4,432","$4,432",,,,,,"$5,489","$5,489","$5,548","$5,489"
3,SUV Large < $80K,Ford,Everest,SUV,Low CPV,"$4,356",,,,,,,,,,,,,,,"$4,432",,"$4,432",,,,,,"$5,489","$3,472","$3,954",
3,SUV Large < $80K,Ford,Everest,SUV,High RRP,"$81,361","$77,000","$79,490","$79,490","$77,000","$77,000","$79,490","$79,490","$79,490","$79,490","$81,115","$81,115","$81,115","$80,154","$80,154","$81,200","$81,200","$81,200","$81,200","$81,200","$81,200","$81,200","$81,200","$81,200","$82,390","$82,990","$82,990"
