"Sales
 Rank",Segment,Make,Model,Bodystyle,Category,12 Month Average,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25
6,SUV Small < $45K,Hyundai,Kona,SUV,Sales,1701,993,1218,1378,1332,995,1368,1024,1607,1303,1842,1804,1470,1674,1260,1800,1279,943,1301,1889,2011,1605,1951,2484,1903,1983,
6,SUV Small < $45K,Hyundai,Kona,SUV,Segment Share,13.01%,7.30%,9.48%,11.11%,11.42%,10.11%,12.27%,8.08%,12.54%,11.91%,15.43%,13.47%,12.61%,15.81%,11.49%,16.08%,10.16%,8.77%,10.96%,13.71%,14.11%,13.31%,14.03%,15.62%,14.18%,13.72%,
6,SUV Small < $45K,Hyundai,Kona,SUV,Retail Offer,,,,,,,,Driveaway,Driveaway,Driveaway,Driveaway,Driveaway,Driveaway,Servicing,Gift Card;Servicing,Gift Card;Servicing,Gift Card;Servicing,Gift Card;Servicing,Finance,Finance,Finance,Finance,Finance,Finance,Driveaway,Driveaway,Driveaway
6,SUV Small < $45K,Hyundai,Kona,SUV,High CPV,"$3,746",,,,,,,$440,$440,$440,$980,$980,$955,"$1,520","$3,020","$3,020","$3,020","$3,020","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$1,335","$1,541","$1,041"
6,SUV Small < $45K,Hyundai,Kona,SUV,Low CPV,$823,,,,,,,$440,$440,$440,$440,$440,$955,$500,$500,$500,$500,$500,$500,$500,$500,"$1,335","$1,335","$1,335","$1,335","$1,041",
6,SUV Small < $45K,Hyundai,Kona,SUV,High RRP,"$71,000","$64,000","$64,000","$64,000","$64,000","$64,000","$68,000","$68,000","$68,000","$68,000","$68,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000","$71,000"
6,SUV Small < $45K,Hyundai,Kona,SUV,Low RRP,"$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500","$28,500"
6,SUV Small < $45K,Hyundai,Kona,SUV,Model Launch,,,,,,,New Variant,,,,,,,,,,,,Facelift,,,,,,,,
18,SUV Medium < $60K,Hyundai,Tucson,SUV,Sales,1663,2084,1678,1762,1899,1390,1506,1687,1492,1548,1434,1795,1622,1548,1766,1803,1542,1318,1433,1472,1831,1410,1794,2332,1914,1340,
18,SUV Medium < $60K,Hyundai,Tucson,SUV,Segment Share,8.53%,11.93%,9.13%,10.01%,10.51%,8.99%,10.12%,9.58%,6.92%,8.62%,7.36%,8.69%,8.36%,7.35%,8.95%,9.47%,8.15%,6.72%,8.16%,7.83%,8.56%,8.40%,9.74%,10.53%,9.06%,6.75%,
